id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,march,2019
32343212,whouse studio Borgo San Pietro,218344127,Gloria,,Santo Stefano,445.012,1.134.897,Entire home/apt,55,1,0,,,4,170,march,2019
32349304,"Beautiful bright Suite, strategic place, Netflix",118672629,Ernesto,,Navile,4.451.324,1.131.733,Private room,40,1,3,26/02/19,3,1,15,march,2019
32360703,Camera nel cuore di bologna,22715558,Maria,,Navile,4.451.352,1.134.714,Private room,100,2,0,,,1,3,march,2019
32362865,Realkasa Jungle Flat,228384114,Realkasa,,Porto - Saragozza,4.449.724,1.133.623,Entire home/apt,81,2,0,,,8,251,march,2019
32363203,Camera privata in appart. condiviso zona Centro,242999895,Marta,,Porto - Saragozza,4.450.305,1.134.152,Private room,35,1,3,03/03/19,3,1,81,march,2019
32372287,apARTments,189003061,Paulina,,Navile,4.451.528,1.135.756,Entire home/apt,60,1,0,,,1,83,march,2019
32373922,Mercato San Donato Centro Bologna Fiere,12639943,Gianliberato,,San Donato - San Vitale,4.450.326,1.136.181,Private room,20,1,6,04/03/19,6,1,310,march,2019
32374557,Gli Oziosi,41139329,Rari,,San Donato - San Vitale,4.448.946,1.137.031,Private room,27,1,1,03/03/19,1,1,336,march,2019
32377858,Casa Gaia,89067449,Marco,,Santo Stefano,4.448.166,1.137.049,Entire home/apt,40,2,0,,,16,71,march,2019
32382622,La casa di Chicco,32359907,Christian,,Borgo Panigale - Reno,4.449.917,1.130.023,Entire home/apt,80,1,1,28/02/19,1,1,259,march,2019
32396923,Nice Room,34577911,Peppe,,Santo Stefano,4.448.655,113.375,Private room,40,3,0,,,2,166,march,2019
32398080,Le Torri Suite: Davanzale vista Due Torri,243286231,Sergio,,Santo Stefano,4.449.355,113.454,Entire home/apt,80,2,1,24/02/19,1,1,347,march,2019
